query,well_behaved,1a,1b
26c,False,False,False
13b,False,True,False
3c,True,True,True
7c,False,True,False
4b,True,True,True
25b,False,True,False
31b,False,True,False
6d,True,True,True
9d,False,True,False
17a,False,True,False
22b,False,True,False
9c,False,True,False
16c,False,True,False
23b,False,False,False
30c,False,True,False
8c,True,True,True
4a,True,True,True
5c,True,True,True
23a,False,False,False
13d,True,True,True
16d,False,True,False
6b,True,True,True
5b,True,True,True
16b,False,True,False
20c,False,False,False
19b,False,False,False
31c,False,True,False
27c,False,True,False
2d,False,True,False
32b,False,True,False
14a,True,True,True
33b,False,True,False
17c,False,True,False
19d,False,True,False
3a,True,True,True
18b,True,True,True
6e,True,True,True
16a,False,True,False
8b,False,False,False
30a,False,False,False
29c,False,True,False
11b,False,True,False
18a,False,True,False
28a,False,True,False
7b,False,True,False
12a,False,False,False
18c,True,True,True
30b,False,True,False
17b,False,True,False
6f,True,True,True
27b,False,True,False
1b,True,True,True
22d,False,True,False
29b,False,True,False
19a,False,True,False
12c,False,False,False
17e,False,True,False
20a,False,False,False
15b,False,True,False
20b,False,False,False
25c,False,True,False
10c,False,False,True
33c,False,True,False
1c,True,True,True
4c,True,True,True
9a,False,True,False
3b,True,True,True
21b,False,True,False
7a,False,True,False
8a,False,True,False
33a,False,True,False
11d,False,False,False
10b,False,False,True
9b,False,True,False
28b,False,True,False
28c,False,True,False
24b,False,True,False
31a,False,True,False
21c,False,True,False
27a,False,True,False
22a,False,True,False
11a,False,True,False
1a,True,True,True
2c,False,True,False
22c,False,True,False
14b,True,True,True
32a,False,True,False
6c,True,True,True
1d,True,True,True
15c,False,True,False
2a,False,True,False
19c,False,True,False
17f,False,True,False
13a,True,True,True
11c,False,False,False
25a,False,True,False
13c,False,True,False
6a,True,True,True
8d,True,True,True
26b,False,False,False
2b,False,True,False
23c,False,False,False
17d,False,True,False
21a,False,True,False
10a,False,False,True
24a,False,True,False
14c,True,True,True
26a,False,False,False
12b,False,False,False
15a,False,True,False
15d,False,True,False
5a,True,True,True
29a,False,True,False
