duration(µs),method,variant,query
169487,BinaryJoin,flatten,job_acyclic_101_04
76848,Yannakakis,flatten,job_acyclic_101_04
160170,BinaryJoin,flatten,job_acyclic_101_04
74220,Yannakakis,flatten,job_acyclic_101_04
160052,BinaryJoin,flatten,job_acyclic_101_04
74306,Yannakakis,flatten,job_acyclic_101_04
158986,BinaryJoin,flatten,job_acyclic_101_04
74737,Yannakakis,flatten,job_acyclic_101_04
160350,BinaryJoin,flatten,job_acyclic_101_04
74526,Yannakakis,flatten,job_acyclic_101_04
158818,BinaryJoin,flatten,job_acyclic_101_04
75128,Yannakakis,flatten,job_acyclic_101_04
160246,BinaryJoin,flatten,job_acyclic_101_04
74605,Yannakakis,flatten,job_acyclic_101_04
159438,BinaryJoin,flatten,job_acyclic_101_04
74541,Yannakakis,flatten,job_acyclic_101_04
161155,BinaryJoin,flatten,job_acyclic_101_04
74724,Yannakakis,flatten,job_acyclic_101_04
158529,BinaryJoin,flatten,job_acyclic_101_04
74317,Yannakakis,flatten,job_acyclic_101_04
1600488,BinaryJoin,flatten,job_acyclic_108_02
681527,Yannakakis,flatten,job_acyclic_108_02
1515102,BinaryJoin,flatten,job_acyclic_108_02
672640,Yannakakis,flatten,job_acyclic_108_02
1508241,BinaryJoin,flatten,job_acyclic_108_02
667378,Yannakakis,flatten,job_acyclic_108_02
1495466,BinaryJoin,flatten,job_acyclic_108_02
666260,Yannakakis,flatten,job_acyclic_108_02
1495485,BinaryJoin,flatten,job_acyclic_108_02
672544,Yannakakis,flatten,job_acyclic_108_02
1497070,BinaryJoin,flatten,job_acyclic_108_02
673081,Yannakakis,flatten,job_acyclic_108_02
1498029,BinaryJoin,flatten,job_acyclic_108_02
669045,Yannakakis,flatten,job_acyclic_108_02
1496394,BinaryJoin,flatten,job_acyclic_108_02
665698,Yannakakis,flatten,job_acyclic_108_02
1501229,BinaryJoin,flatten,job_acyclic_108_02
671712,Yannakakis,flatten,job_acyclic_108_02
1496023,BinaryJoin,flatten,job_acyclic_108_02
669961,Yannakakis,flatten,job_acyclic_108_02
463541,BinaryJoin,flatten,job_acyclic_108_44
91646,Yannakakis,flatten,job_acyclic_108_44
464400,BinaryJoin,flatten,job_acyclic_108_44
91763,Yannakakis,flatten,job_acyclic_108_44
463200,BinaryJoin,flatten,job_acyclic_108_44
91794,Yannakakis,flatten,job_acyclic_108_44
463429,BinaryJoin,flatten,job_acyclic_108_44
91608,Yannakakis,flatten,job_acyclic_108_44
461964,BinaryJoin,flatten,job_acyclic_108_44
92826,Yannakakis,flatten,job_acyclic_108_44
463864,BinaryJoin,flatten,job_acyclic_108_44
91819,Yannakakis,flatten,job_acyclic_108_44
463271,BinaryJoin,flatten,job_acyclic_108_44
92132,Yannakakis,flatten,job_acyclic_108_44
461579,BinaryJoin,flatten,job_acyclic_108_44
92764,Yannakakis,flatten,job_acyclic_108_44
463495,BinaryJoin,flatten,job_acyclic_108_44
92270,Yannakakis,flatten,job_acyclic_108_44
465784,BinaryJoin,flatten,job_acyclic_108_44
91279,Yannakakis,flatten,job_acyclic_108_44
10208,BinaryJoin,flatten,epinions_acyclic_205_03
6605,Yannakakis,flatten,epinions_acyclic_205_03
9697,BinaryJoin,flatten,epinions_acyclic_205_03
6233,Yannakakis,flatten,epinions_acyclic_205_03
10670,BinaryJoin,flatten,epinions_acyclic_205_03
6404,Yannakakis,flatten,epinions_acyclic_205_03
10251,BinaryJoin,flatten,epinions_acyclic_205_03
6797,Yannakakis,flatten,epinions_acyclic_205_03
9507,BinaryJoin,flatten,epinions_acyclic_205_03
6842,Yannakakis,flatten,epinions_acyclic_205_03
9700,BinaryJoin,flatten,epinions_acyclic_205_03
6269,Yannakakis,flatten,epinions_acyclic_205_03
10228,BinaryJoin,flatten,epinions_acyclic_205_03
6264,Yannakakis,flatten,epinions_acyclic_205_03
10429,BinaryJoin,flatten,epinions_acyclic_205_03
6705,Yannakakis,flatten,epinions_acyclic_205_03
9589,BinaryJoin,flatten,epinions_acyclic_205_03
6593,Yannakakis,flatten,epinions_acyclic_205_03
9592,BinaryJoin,flatten,epinions_acyclic_205_03
6365,Yannakakis,flatten,epinions_acyclic_205_03
8801,BinaryJoin,flatten,epinions_acyclic_205_02
4855,Yannakakis,flatten,epinions_acyclic_205_02
8897,BinaryJoin,flatten,epinions_acyclic_205_02
4957,Yannakakis,flatten,epinions_acyclic_205_02
10297,BinaryJoin,flatten,epinions_acyclic_205_02
4947,Yannakakis,flatten,epinions_acyclic_205_02
8807,BinaryJoin,flatten,epinions_acyclic_205_02
4924,Yannakakis,flatten,epinions_acyclic_205_02
8814,BinaryJoin,flatten,epinions_acyclic_205_02
4903,Yannakakis,flatten,epinions_acyclic_205_02
9312,BinaryJoin,flatten,epinions_acyclic_205_02
4975,Yannakakis,flatten,epinions_acyclic_205_02
8853,BinaryJoin,flatten,epinions_acyclic_205_02
5065,Yannakakis,flatten,epinions_acyclic_205_02
9083,BinaryJoin,flatten,epinions_acyclic_205_02
4945,Yannakakis,flatten,epinions_acyclic_205_02
9688,BinaryJoin,flatten,epinions_acyclic_205_02
4861,Yannakakis,flatten,epinions_acyclic_205_02
10388,BinaryJoin,flatten,epinions_acyclic_205_02
4973,Yannakakis,flatten,epinions_acyclic_205_02
774074,BinaryJoin,flatten,dblp_acyclic_209_16
389247,Yannakakis,flatten,dblp_acyclic_209_16
686614,BinaryJoin,flatten,dblp_acyclic_209_16
382822,Yannakakis,flatten,dblp_acyclic_209_16
646836,BinaryJoin,flatten,dblp_acyclic_209_16
382590,Yannakakis,flatten,dblp_acyclic_209_16
642306,BinaryJoin,flatten,dblp_acyclic_209_16
381598,Yannakakis,flatten,dblp_acyclic_209_16
649273,BinaryJoin,flatten,dblp_acyclic_209_16
384453,Yannakakis,flatten,dblp_acyclic_209_16
644510,BinaryJoin,flatten,dblp_acyclic_209_16
381591,Yannakakis,flatten,dblp_acyclic_209_16
644190,BinaryJoin,flatten,dblp_acyclic_209_16
383039,Yannakakis,flatten,dblp_acyclic_209_16
644882,BinaryJoin,flatten,dblp_acyclic_209_16
383542,Yannakakis,flatten,dblp_acyclic_209_16
645873,BinaryJoin,flatten,dblp_acyclic_209_16
385033,Yannakakis,flatten,dblp_acyclic_209_16
644160,BinaryJoin,flatten,dblp_acyclic_209_16
385984,Yannakakis,flatten,dblp_acyclic_209_16
62031,BinaryJoin,flatten,epinions_acyclic_210_15
29660,Yannakakis,flatten,epinions_acyclic_210_15
55116,BinaryJoin,flatten,epinions_acyclic_210_15
28677,Yannakakis,flatten,epinions_acyclic_210_15
54434,BinaryJoin,flatten,epinions_acyclic_210_15
29038,Yannakakis,flatten,epinions_acyclic_210_15
54847,BinaryJoin,flatten,epinions_acyclic_210_15
28472,Yannakakis,flatten,epinions_acyclic_210_15
54446,BinaryJoin,flatten,epinions_acyclic_210_15
28971,Yannakakis,flatten,epinions_acyclic_210_15
55091,BinaryJoin,flatten,epinions_acyclic_210_15
28302,Yannakakis,flatten,epinions_acyclic_210_15
54101,BinaryJoin,flatten,epinions_acyclic_210_15
29047,Yannakakis,flatten,epinions_acyclic_210_15
54900,BinaryJoin,flatten,epinions_acyclic_210_15
28473,Yannakakis,flatten,epinions_acyclic_210_15
54536,BinaryJoin,flatten,epinions_acyclic_210_15
28964,Yannakakis,flatten,epinions_acyclic_210_15
54949,BinaryJoin,flatten,epinions_acyclic_210_15
28465,Yannakakis,flatten,epinions_acyclic_210_15
124688,BinaryJoin,flatten,watdiv_acyclic_208_09
53082,Yannakakis,flatten,watdiv_acyclic_208_09
124604,BinaryJoin,flatten,watdiv_acyclic_208_09
53592,Yannakakis,flatten,watdiv_acyclic_208_09
125014,BinaryJoin,flatten,watdiv_acyclic_208_09
53980,Yannakakis,flatten,watdiv_acyclic_208_09
124616,BinaryJoin,flatten,watdiv_acyclic_208_09
53675,Yannakakis,flatten,watdiv_acyclic_208_09
124831,BinaryJoin,flatten,watdiv_acyclic_208_09
53672,Yannakakis,flatten,watdiv_acyclic_208_09
126430,BinaryJoin,flatten,watdiv_acyclic_208_09
53559,Yannakakis,flatten,watdiv_acyclic_208_09
124921,BinaryJoin,flatten,watdiv_acyclic_208_09
53587,Yannakakis,flatten,watdiv_acyclic_208_09
124653,BinaryJoin,flatten,watdiv_acyclic_208_09
53888,Yannakakis,flatten,watdiv_acyclic_208_09
124930,BinaryJoin,flatten,watdiv_acyclic_208_09
53687,Yannakakis,flatten,watdiv_acyclic_208_09
124454,BinaryJoin,flatten,watdiv_acyclic_208_09
54031,Yannakakis,flatten,watdiv_acyclic_208_09
58856,BinaryJoin,flatten,job_acyclic_102_05
52647,Yannakakis,flatten,job_acyclic_102_05
60230,BinaryJoin,flatten,job_acyclic_102_05
52301,Yannakakis,flatten,job_acyclic_102_05
60021,BinaryJoin,flatten,job_acyclic_102_05
52844,Yannakakis,flatten,job_acyclic_102_05
60069,BinaryJoin,flatten,job_acyclic_102_05
51619,Yannakakis,flatten,job_acyclic_102_05
59526,BinaryJoin,flatten,job_acyclic_102_05
51216,Yannakakis,flatten,job_acyclic_102_05
59219,BinaryJoin,flatten,job_acyclic_102_05
51891,Yannakakis,flatten,job_acyclic_102_05
60005,BinaryJoin,flatten,job_acyclic_102_05
52074,Yannakakis,flatten,job_acyclic_102_05
59828,BinaryJoin,flatten,job_acyclic_102_05
52080,Yannakakis,flatten,job_acyclic_102_05
59766,BinaryJoin,flatten,job_acyclic_102_05
52145,Yannakakis,flatten,job_acyclic_102_05
59407,BinaryJoin,flatten,job_acyclic_102_05
51424,Yannakakis,flatten,job_acyclic_102_05
1405505,BinaryJoin,flatten,job_acyclic_104_13
184105,Yannakakis,flatten,job_acyclic_104_13
1392254,BinaryJoin,flatten,job_acyclic_104_13
185197,Yannakakis,flatten,job_acyclic_104_13
1394021,BinaryJoin,flatten,job_acyclic_104_13
185495,Yannakakis,flatten,job_acyclic_104_13
1388960,BinaryJoin,flatten,job_acyclic_104_13
185095,Yannakakis,flatten,job_acyclic_104_13
1390393,BinaryJoin,flatten,job_acyclic_104_13
185638,Yannakakis,flatten,job_acyclic_104_13
1390215,BinaryJoin,flatten,job_acyclic_104_13
185334,Yannakakis,flatten,job_acyclic_104_13
1389456,BinaryJoin,flatten,job_acyclic_104_13
184810,Yannakakis,flatten,job_acyclic_104_13
1388077,BinaryJoin,flatten,job_acyclic_104_13
184470,Yannakakis,flatten,job_acyclic_104_13
1391403,BinaryJoin,flatten,job_acyclic_104_13
183926,Yannakakis,flatten,job_acyclic_104_13
1388156,BinaryJoin,flatten,job_acyclic_104_13
183124,Yannakakis,flatten,job_acyclic_104_13
194199,BinaryJoin,flatten,job_acyclic_107_13
132725,Yannakakis,flatten,job_acyclic_107_13
194381,BinaryJoin,flatten,job_acyclic_107_13
133915,Yannakakis,flatten,job_acyclic_107_13
196356,BinaryJoin,flatten,job_acyclic_107_13
133204,Yannakakis,flatten,job_acyclic_107_13
195345,BinaryJoin,flatten,job_acyclic_107_13
133064,Yannakakis,flatten,job_acyclic_107_13
194547,BinaryJoin,flatten,job_acyclic_107_13
133890,Yannakakis,flatten,job_acyclic_107_13
194223,BinaryJoin,flatten,job_acyclic_107_13
133262,Yannakakis,flatten,job_acyclic_107_13
195141,BinaryJoin,flatten,job_acyclic_107_13
133298,Yannakakis,flatten,job_acyclic_107_13
196631,BinaryJoin,flatten,job_acyclic_107_13
132796,Yannakakis,flatten,job_acyclic_107_13
194901,BinaryJoin,flatten,job_acyclic_107_13
133775,Yannakakis,flatten,job_acyclic_107_13
194988,BinaryJoin,flatten,job_acyclic_107_13
133376,Yannakakis,flatten,job_acyclic_107_13
20435,BinaryJoin,flatten,epinions_acyclic_204_09
11095,Yannakakis,flatten,epinions_acyclic_204_09
20902,BinaryJoin,flatten,epinions_acyclic_204_09
9783,Yannakakis,flatten,epinions_acyclic_204_09
19867,BinaryJoin,flatten,epinions_acyclic_204_09
10318,Yannakakis,flatten,epinions_acyclic_204_09
20485,BinaryJoin,flatten,epinions_acyclic_204_09
10160,Yannakakis,flatten,epinions_acyclic_204_09
20503,BinaryJoin,flatten,epinions_acyclic_204_09
9891,Yannakakis,flatten,epinions_acyclic_204_09
19921,BinaryJoin,flatten,epinions_acyclic_204_09
9938,Yannakakis,flatten,epinions_acyclic_204_09
21053,BinaryJoin,flatten,epinions_acyclic_204_09
9788,Yannakakis,flatten,epinions_acyclic_204_09
20065,BinaryJoin,flatten,epinions_acyclic_204_09
10319,Yannakakis,flatten,epinions_acyclic_204_09
