query,method,duration(s)_mean,duration(s)_median,hashjoin_time(s)_mean,hashjoin_time(s)_median
dblp_acyclic_201_00,DF-Bin,1.2921358,1.2913394999999999,1.2537447334,1.2530159145
dblp_acyclic_201_01,DF-Bin,0.129688,0.12963000000000002,0.1104185428,0.110389395
dblp_acyclic_201_02,DF-Bin,0.20150869999999999,0.200955,0.16693381289999998,0.16640422400000002
dblp_acyclic_201_03,DF-Bin,0.8441649,0.8435515,0.8054738916999999,0.804854722
dblp_acyclic_201_04,DF-Bin,0.353416,0.35260250000000004,0.30661694899999997,0.305792281
dblp_acyclic_201_05,DF-Bin,0.0714473,0.07141600000000001,0.0526358975,0.052603974500000004
dblp_acyclic_201_06,DF-Bin,0.096692,0.0966325,0.0665450838,0.06652746300000001
dblp_acyclic_201_07,DF-Bin,0.0978739,0.0978995,0.0638112713,0.06396003649999998
dblp_acyclic_201_08,DF-Bin,0.47271640000000004,0.472694,0.43238817770000004,0.432368601
dblp_acyclic_201_09,DF-Bin,0.3884004,0.387841,0.35895952259999997,0.3584005325
dblp_acyclic_201_10,DF-Bin,1.2223521,1.2217225,1.1696282888999998,1.1690099015
dblp_acyclic_201_11,DF-Bin,0.3628857,0.3621205,0.33571068519999997,0.334962093
dblp_acyclic_201_12,DF-Bin,0.10313730000000002,0.1029845,0.06735937180000001,0.067253239
dblp_acyclic_201_13,DF-Bin,0.0723727,0.07235849999999999,0.0453597043,0.04530680749999998
dblp_acyclic_201_14,DF-Bin,0.5877111,0.5868225,0.5526110639999999,0.5517122830000001
dblp_acyclic_201_15,DF-Bin,1.3675545,1.3661455,1.3202695702,1.3188648605
dblp_acyclic_201_16,DF-Bin,1.9369900000000002,1.9357674999999999,1.9252525326000003,1.9240589455
dblp_acyclic_201_17,DF-Bin,1.0795413999999999,1.0798394999999998,1.0502575763999997,1.0505596569999998
dblp_acyclic_201_18,DF-Bin,0.5581025000000001,0.5580855,0.5159964366,0.5160001635
dblp_acyclic_201_19,DF-Bin,0.6964667999999999,0.6952419999999999,0.6618889690999998,0.660679755
dblp_acyclic_202_00,DF-Bin,0.1199233,0.119879,0.0940553086,0.0940325245
dblp_acyclic_202_01,DF-Bin,1.5874378,1.587445,1.545145694,1.5451158655000001
dblp_acyclic_202_02,DF-Bin,0.8279276,0.8272805,0.7958651153999999,0.7951947515
dblp_acyclic_202_03,DF-Bin,0.2677276,0.267188,0.2390685142,0.23853632749999998
dblp_acyclic_202_04,DF-Bin,0.4036601,0.40379299999999996,0.3683689597,0.3684696835
dblp_acyclic_202_05,DF-Bin,1.0673234,1.0671065,1.0261486165,1.0260069459999999
dblp_acyclic_202_06,DF-Bin,0.3643343,0.364269,0.3261620872,0.32609928400000004
dblp_acyclic_202_07,DF-Bin,0.7327281,0.732729,0.6878218383,0.6877987475
dblp_acyclic_202_08,DF-Bin,0.25996,0.25963749999999997,0.22063929360000006,0.22032654699999993
dblp_acyclic_202_09,DF-Bin,1.2924346,1.2924385,1.2488345647,1.2489091614999999
dblp_acyclic_202_10,DF-Bin,1.2683833999999998,1.2683265,1.2273764479,1.2272712175
dblp_acyclic_202_11,DF-Bin,0.37649879999999997,0.376403,0.34933008649999997,0.3491759775
dblp_acyclic_202_12,DF-Bin,0.2372346,0.2375335,0.2200281352,0.220342414
dblp_acyclic_202_13,DF-Bin,0.22547100000000003,0.2254265,0.19859303930000005,0.198561225
dblp_acyclic_202_14,DF-Bin,2.0321321,2.030909,2.0012322323,1.9999732989999999
dblp_acyclic_202_15,DF-Bin,0.3560635,0.356005,0.32818740409999997,0.32816354750000004
dblp_acyclic_202_16,DF-Bin,1.2817504,1.2817865,1.2551661231000002,1.2552379864999998
dblp_acyclic_202_17,DF-Bin,0.1843826,0.183726,0.1672696472,0.1666184
dblp_acyclic_202_18,DF-Bin,0.325313,0.32435749999999997,0.28783068180000004,0.28688615949999996
dblp_acyclic_202_19,DF-Bin,0.5114232999999999,0.5114635,0.47441285999999994,0.474503844
dblp_acyclic_203_00,DF-Bin,0.3830042,0.38344900000000004,0.3495957297,0.350079026
dblp_acyclic_203_01,DF-Bin,0.0606584,0.0606475,0.044367843700000006,0.044354171000000005
dblp_acyclic_203_02,DF-Bin,0.1998789,0.1997585,0.1779504831,0.177834972
dblp_acyclic_203_03,DF-Bin,0.228327,0.2280985,0.21165197789999998,0.211390422
dblp_acyclic_203_04,DF-Bin,1.048283,1.047218,1.0149027447,1.0138023660000002
dblp_acyclic_203_05,DF-Bin,0.2832751,0.282648,0.25750028690000004,0.2568905195
dblp_acyclic_203_06,DF-Bin,1.4849413,1.4822134999999999,1.4547691095000002,1.4520644164999998
dblp_acyclic_203_07,DF-Bin,0.21166100000000002,0.21129750000000003,0.1774241389,0.17710552250000003
dblp_acyclic_203_08,DF-Bin,0.0822114,0.0819645,0.0643033265,0.064086799
dblp_acyclic_203_09,DF-Bin,0.6486499,0.6484605,0.6129736703,0.6127409620000001
dblp_acyclic_203_10,DF-Bin,0.8033955,0.8025605,0.7760278128,0.775183619
dblp_acyclic_203_11,DF-Bin,0.1246805,0.1245695,0.09787571109999998,0.09780559999999998
dblp_acyclic_203_12,DF-Bin,0.382096,0.3821585,0.3681930985,0.36826432600000003
dblp_acyclic_203_13,DF-Bin,0.27305009999999996,0.2729235,0.25383725619999997,0.25370964799999995
dblp_acyclic_203_14,DF-Bin,0.4669886,0.4668515,0.4347564685,0.43455766149999997
dblp_acyclic_203_15,DF-Bin,0.1274619,0.12736599999999998,0.11013139679999999,0.10995593649999999
dblp_acyclic_203_16,DF-Bin,0.7869544,0.7868595,0.7498063412,0.7497684530000001
dblp_acyclic_203_17,DF-Bin,0.2428715,0.24276550000000002,0.2113705792,0.21124790300000004
dblp_acyclic_203_18,DF-Bin,0.1855375,0.185529,0.14621808849999998,0.1462034345
dblp_acyclic_203_19,DF-Bin,0.14474309999999999,0.14452199999999998,0.1173849756,0.117145166
dblp_acyclic_204_00,DF-Bin,0.4263184,0.425898,0.3970492924,0.39660443900000003
dblp_acyclic_204_01,DF-Bin,0.6416546999999999,0.6414765,0.6068192700999999,0.606703232
dblp_acyclic_204_02,DF-Bin,0.9040839999999999,0.903632,0.8681043392999999,0.8676266444999999
dblp_acyclic_204_03,DF-Bin,0.1515176,0.151511,0.12334699040000001,0.12337484049999999
dblp_acyclic_204_04,DF-Bin,0.6103691,0.610194,0.5767377647,0.5764833845
dblp_acyclic_204_05,DF-Bin,0.2713578,0.270764,0.2437305204,0.24318133549999998
dblp_acyclic_204_06,DF-Bin,0.1501245,0.1498815,0.13187816510000003,0.131655135
dblp_acyclic_204_07,DF-Bin,0.0762043,0.0760655,0.05761860070000001,0.0575429655
dblp_acyclic_204_08,DF-Bin,0.4948377,0.4945805,0.4651902743,0.46498305149999997
dblp_acyclic_204_09,DF-Bin,0.6577037,0.6572355000000001,0.6250586716,0.6245712160000001
dblp_acyclic_204_10,DF-Bin,0.0912467,0.091222,0.0724350605,0.07241556300000002
dblp_acyclic_204_11,DF-Bin,0.07811470000000001,0.078321,0.0580611633,0.058241311500000004
dblp_acyclic_204_12,DF-Bin,0.776745,0.7765515000000001,0.7466645027000001,0.746456165
dblp_acyclic_204_13,DF-Bin,0.3943816,0.3937425,0.3788659269,0.378233135
dblp_acyclic_204_14,DF-Bin,0.24834170000000003,0.248132,0.22336213550000003,0.2231567515
dblp_acyclic_204_15,DF-Bin,0.3980888,0.3978075,0.3593851046,0.35907301599999997
dblp_acyclic_204_16,DF-Bin,0.538255,0.537783,0.5022040324,0.5017331515000001
dblp_acyclic_204_17,DF-Bin,0.1052751,0.1049895,0.07916509989999998,0.078883013
dblp_acyclic_204_18,DF-Bin,0.2017055,0.20159,0.17561832380000003,0.17555334949999998
dblp_acyclic_204_19,DF-Bin,0.40972369999999997,0.4090565,0.37187483229999996,0.37123600949999996
dblp_acyclic_205_00,DF-Bin,0.4206814,0.418269,0.4100612882,0.407655349
dblp_acyclic_205_01,DF-Bin,0.35306960000000004,0.35307200000000005,0.3391531077,0.3392143530000001
dblp_acyclic_205_02,DF-Bin,1.1018552,1.101899,1.076252889,1.0763146604999998
dblp_acyclic_205_04,DF-Bin,5.8241413,5.814731500000001,5.7878512191,5.779715819000001
dblp_acyclic_205_05,DF-Bin,0.3072724,0.3063845,0.2930635649,0.292208245
dblp_acyclic_205_06,DF-Bin,0.0487784,0.0487965,0.0282102738,0.028282352500000003
dblp_acyclic_205_08,DF-Bin,0.8612955,0.859078,0.8299706471,0.827785649
dblp_acyclic_205_09,DF-Bin,1.7285863,1.7237624999999999,1.6976973568999998,1.6928420804999997
dblp_acyclic_205_10,DF-Bin,0.4069982,0.406975,0.3741342974,0.37410182849999996
dblp_acyclic_205_11,DF-Bin,1.4624779,1.460097,1.4521534888000003,1.4498008265
dblp_acyclic_205_12,DF-Bin,0.6530508,0.652579,0.6160052635000001,0.615560441
dblp_acyclic_205_13,DF-Bin,3.4074087,3.4030885,3.3784871719,3.374314234
dblp_acyclic_205_15,DF-Bin,4.7145491,4.710475000000001,4.6786959183,4.6753449345
dblp_acyclic_205_16,DF-Bin,1.43458,1.433115,1.405398646,1.404069611
dblp_acyclic_205_17,DF-Bin,3.3172722,3.309599,3.2936562166,3.287919928
dblp_acyclic_206_00,DF-Bin,1.2504673,1.248478,1.2175118524,1.2155255379999998
dblp_acyclic_206_01,DF-Bin,0.0750765,0.0749625,0.060934937300000006,0.06087125
dblp_acyclic_206_02,DF-Bin,1.2985162000000001,1.29708,1.2492310467,1.2478514025
dblp_acyclic_206_03,DF-Bin,0.7279975999999999,0.7267325,0.6840427809,0.682796953
dblp_acyclic_206_04,DF-Bin,0.1419746,0.1419155,0.11031448719999999,0.11027329449999998
dblp_acyclic_206_05,DF-Bin,0.1382979,0.138413,0.0981496688,0.09830080449999999
dblp_acyclic_206_06,DF-Bin,0.5267048,0.5264675,0.47940540369999995,0.47919521299999995
dblp_acyclic_206_07,DF-Bin,0.6205496,0.6197115,0.5791713925,0.578314122
dblp_acyclic_206_08,DF-Bin,0.1307283,0.1308385,0.0934156165,0.09352405249999998
dblp_acyclic_206_09,DF-Bin,0.1728957,0.1728665,0.1367868197,0.136769161
dblp_acyclic_206_10,DF-Bin,0.8374168,0.836356,0.7923203764,0.791393123
dblp_acyclic_206_11,DF-Bin,2.4306448,2.4283400000000004,2.4080470683999997,2.4057532470000003
dblp_acyclic_206_12,DF-Bin,0.10205850000000001,0.10198750000000001,0.07077389240000001,0.0706911565
dblp_acyclic_206_13,DF-Bin,0.7332251000000001,0.7325075000000001,0.6877802352000001,0.6870141995000002
dblp_acyclic_206_14,DF-Bin,0.8626885,0.8608715,0.8254154177999999,0.8236800255000001
dblp_acyclic_206_15,DF-Bin,0.47565939999999995,0.47492599999999996,0.43336747489999994,0.4326718015
dblp_acyclic_206_16,DF-Bin,0.66704,0.6671465,0.6285866888,0.628693712
dblp_acyclic_206_17,DF-Bin,0.07227360000000001,0.0721165,0.045688129500000015,0.045623588
dblp_acyclic_206_18,DF-Bin,0.591752,0.590624,0.5565061285999999,0.5554228395
dblp_acyclic_206_19,DF-Bin,0.3319489,0.33097750000000004,0.29307545690000003,0.292108872
dblp_acyclic_207_00,DF-Bin,2.104929,2.1040915,2.0468647375,2.0461234375000004
dblp_acyclic_207_01,DF-Bin,0.8188576,0.8173845,0.7884415050999999,0.786981893
dblp_acyclic_207_02,DF-Bin,0.2723639,0.2722245,0.2326019436,0.23258682449999996
dblp_acyclic_207_03,DF-Bin,0.35077389999999997,0.3506725,0.32539880709999996,0.32531445600000003
dblp_acyclic_207_04,DF-Bin,0.6264647,0.6263015000000001,0.5886903681,0.5885472575
dblp_acyclic_207_05,DF-Bin,0.5738176,0.5730999999999999,0.5278687685000001,0.52715364
dblp_acyclic_207_06,DF-Bin,0.7322604,0.731338,0.6958313203000001,0.6949785875
dblp_acyclic_207_07,DF-Bin,0.7396002,0.739065,0.7085092504,0.7079894965
dblp_acyclic_207_08,DF-Bin,1.3108657000000001,1.3110995,1.2787208418000002,1.2789820565
dblp_acyclic_207_09,DF-Bin,0.5355863000000001,0.535004,0.4941935912000001,0.49366289350000003
dblp_acyclic_207_10,DF-Bin,0.8704591,0.8696385,0.8314754881,0.8307039455
dblp_acyclic_207_11,DF-Bin,0.09752140000000001,0.0974395,0.07010512530000002,0.0700286275
dblp_acyclic_207_12,DF-Bin,0.9036866,0.9037135000000001,0.8610282345,0.86104219
dblp_acyclic_207_13,DF-Bin,0.1333008,0.133153,0.10266675210000001,0.10252838049999999
dblp_acyclic_207_14,DF-Bin,0.0956024,0.0956265,0.06784554629999999,0.067903433
dblp_acyclic_207_15,DF-Bin,0.8543868,0.8538669999999999,0.8206602516999999,0.8201626489999999
dblp_acyclic_207_16,DF-Bin,2.3040373,2.3020315,2.2728544277,2.2708396029999998
dblp_acyclic_207_17,DF-Bin,0.8149424,0.8141484999999999,0.770800084,0.7700629749999999
dblp_acyclic_207_18,DF-Bin,0.3118887,0.31156700000000004,0.2861567211,0.28589442750000005
dblp_acyclic_207_19,DF-Bin,1.7747240000000002,1.774751,1.7125774125000004,1.712709213
dblp_acyclic_208_00,DF-Bin,1.0625240999999999,1.0618015,1.0202149665,1.0195733705
dblp_acyclic_208_01,DF-Bin,1.6879513,1.6865715,1.6395658418999999,1.638228493
dblp_acyclic_208_02,DF-Bin,0.2579205,0.2577085,0.2282888836,0.2280689925
dblp_acyclic_208_03,DF-Bin,0.7005015,0.698817,0.6534291806,0.6518385300000001
dblp_acyclic_208_04,DF-Bin,0.1192045,0.1190995,0.0883177648,0.0881748925
dblp_acyclic_208_05,DF-Bin,0.0976496,0.0977275,0.0700175944,0.070110747
dblp_acyclic_208_06,DF-Bin,0.06921089999999999,0.069156,0.04613355839999999,0.046091871
dblp_acyclic_208_07,DF-Bin,0.3606101,0.360406,0.3359942896,0.33583163150000006
dblp_acyclic_208_08,DF-Bin,0.2589869,0.25788350000000004,0.22543979450000004,0.22434756700000003
dblp_acyclic_208_09,DF-Bin,0.3062049,0.3059615,0.26921042780000004,0.2689600095
dblp_acyclic_208_10,DF-Bin,0.6426233,0.6420535,0.6025616049999999,0.6020103525
dblp_acyclic_208_11,DF-Bin,0.815874,0.8154845,0.7819713277,0.7816084219999999
dblp_acyclic_208_12,DF-Bin,0.5449352000000001,0.5448805,0.5088203469,0.508851423
dblp_acyclic_208_13,DF-Bin,0.1131769,0.113092,0.08171220579999999,0.0816918455
dblp_acyclic_208_14,DF-Bin,0.5894781,0.589334,0.5511564645,0.5510158
dblp_acyclic_208_15,DF-Bin,0.5940055,0.594021,0.566541224,0.5665638835
dblp_acyclic_208_16,DF-Bin,0.7341946,0.733141,0.6964766183,0.6954481350000001
dblp_acyclic_208_17,DF-Bin,0.21708219999999998,0.2165675,0.18621208059999997,0.18573366849999998
dblp_acyclic_208_18,DF-Bin,0.483604,0.48329,0.44688923729999996,0.44660175950000003
dblp_acyclic_208_19,DF-Bin,0.6303275,0.62968,0.593202239,0.5926046665
dblp_acyclic_209_00,DF-Bin,1.1599685000000002,1.160122,1.1367362401000003,1.136910429
dblp_acyclic_209_01,DF-Bin,0.3475354,0.347765,0.3052053709,0.3054774555
dblp_acyclic_209_02,DF-Bin,0.7842648999999999,0.78355,0.7565271871,0.7558121084999999
dblp_acyclic_209_03,DF-Bin,0.32513519999999996,0.32496400000000003,0.286175128,0.28598854500000004
dblp_acyclic_209_04,DF-Bin,0.9308742000000001,0.9305895,0.8893331509000001,0.8890950224999999
dblp_acyclic_209_05,DF-Bin,0.8698774,0.869421,0.8339050927000001,0.8334824535
dblp_acyclic_209_06,DF-Bin,0.3160035,0.3158495,0.2834106562,0.283227562
dblp_acyclic_209_07,DF-Bin,0.28785479999999997,0.2882125,0.25765010819999995,0.25801717199999996
dblp_acyclic_209_08,DF-Bin,0.11320649999999999,0.1133035,0.08772370539999998,0.08782720599999999
dblp_acyclic_209_09,DF-Bin,0.1093234,0.1092085,0.08227308739999999,0.08218180950000001
dblp_acyclic_209_10,DF-Bin,1.0812898,1.0802985,1.0413826959,1.0403294170000001
dblp_acyclic_209_11,DF-Bin,2.0780642,2.074299,2.0307146379,2.0270327384999995
dblp_acyclic_209_12,DF-Bin,0.652993,0.651939,0.6255819902,0.624528463
dblp_acyclic_209_13,DF-Bin,0.32104499999999997,0.32100300000000004,0.29549662699999996,0.2954614165
dblp_acyclic_209_14,DF-Bin,0.7306731,0.7306455000000001,0.6958261053,0.6957766685000001
dblp_acyclic_209_15,DF-Bin,0.1323638,0.13230799999999998,0.1032003754,0.10319136449999998
dblp_acyclic_209_16,DF-Bin,0.6622718,0.6453774999999999,0.6194809365999999,0.6034163629999999
