query,method,total_time,execution_time,hashjoin_time
dblp_acyclic_201_00,DF-Bin,,1.395854,1.2776216675
dblp_acyclic_201_01,DF-Bin,,0.23678,0.1310361655
dblp_acyclic_201_02,DF-Bin,,0.2762945,0.18671854149999997
dblp_acyclic_201_03,DF-Bin,,0.9277805,0.8247108479999999
dblp_acyclic_201_04,DF-Bin,,0.458164,0.33047054049999997
dblp_acyclic_201_05,DF-Bin,,0.103624,0.06572137349999997
dblp_acyclic_201_06,DF-Bin,,0.1485795,0.080297811
dblp_acyclic_201_07,DF-Bin,,0.1653905,0.07745055
dblp_acyclic_201_08,DF-Bin,,0.555709,0.4497739335
dblp_acyclic_201_09,DF-Bin,,0.4708985,0.382420506
dblp_acyclic_201_10,DF-Bin,,1.3107945,1.1696921125000002
dblp_acyclic_201_11,DF-Bin,,0.43441399999999997,0.358084142
dblp_acyclic_201_12,DF-Bin,,0.1766565,0.0837940935
dblp_acyclic_201_13,DF-Bin,,0.113587,0.058386669999999995
dblp_acyclic_201_14,DF-Bin,,0.667038,0.5638630640000001
dblp_acyclic_201_15,DF-Bin,,1.4565934999999999,1.3203414645000002
dblp_acyclic_201_16,DF-Bin,,2.0726035,1.9553106135000002
dblp_acyclic_201_17,DF-Bin,,1.1912150000000001,1.088838699
dblp_acyclic_201_18,DF-Bin,,0.6682175,0.552268826
dblp_acyclic_201_19,DF-Bin,,0.78851,0.684725209
dblp_acyclic_202_00,DF-Bin,,0.1674835,0.1059602905
dblp_acyclic_202_01,DF-Bin,,1.7130589999999999,1.577930647
dblp_acyclic_202_02,DF-Bin,,0.9216964999999999,0.8238900864999998
dblp_acyclic_202_03,DF-Bin,,0.31350100000000003,0.2511024105000001
dblp_acyclic_202_04,DF-Bin,,0.4686055,0.38189867550000006
dblp_acyclic_202_05,DF-Bin,,1.1593925,1.0386901055
dblp_acyclic_202_06,DF-Bin,,0.43056,0.349464711
dblp_acyclic_202_07,DF-Bin,,0.8401295,0.709253011
dblp_acyclic_202_08,DF-Bin,,0.354356,0.24706506150000002
dblp_acyclic_202_09,DF-Bin,,1.4177075000000001,1.2695713890000004
dblp_acyclic_202_10,DF-Bin,,1.358253,1.243639749
dblp_acyclic_202_11,DF-Bin,,0.44763,0.36166839999999995
dblp_acyclic_202_12,DF-Bin,,0.2720435,0.23095880900000001
dblp_acyclic_202_13,DF-Bin,,0.279894,0.218286498
dblp_acyclic_202_14,DF-Bin,,2.207477,2.049497745
dblp_acyclic_202_15,DF-Bin,,0.443199,0.35068923650000006
dblp_acyclic_202_16,DF-Bin,,1.429376,1.2885846829999998
dblp_acyclic_202_17,DF-Bin,,0.23355700000000001,0.18967595750000002
dblp_acyclic_202_18,DF-Bin,,0.3658265,0.2993514795
dblp_acyclic_202_19,DF-Bin,,0.6068825,0.4967498915
dblp_acyclic_203_00,DF-Bin,,0.498944,0.38111090200000003
dblp_acyclic_203_01,DF-Bin,,0.126867,0.0582590365
dblp_acyclic_203_02,DF-Bin,,0.26991600000000004,0.18684548950000002
dblp_acyclic_203_03,DF-Bin,,0.2763555,0.22037412799999997
dblp_acyclic_203_04,DF-Bin,,1.187939,1.050617441
dblp_acyclic_203_05,DF-Bin,,0.383382,0.2795741475
dblp_acyclic_203_06,DF-Bin,,1.574424,1.4412512115
dblp_acyclic_203_07,DF-Bin,,0.2284465,0.1861748195
dblp_acyclic_203_08,DF-Bin,,0.118659,0.0748288675
dblp_acyclic_203_09,DF-Bin,,0.733421,0.6174675004999999
dblp_acyclic_203_10,DF-Bin,,0.920785,0.801513128
dblp_acyclic_203_11,DF-Bin,,0.18456,0.11426383550000002
dblp_acyclic_203_12,DF-Bin,,0.470808,0.3960693575
dblp_acyclic_203_13,DF-Bin,,0.33441200000000004,0.26783521250000003
dblp_acyclic_203_14,DF-Bin,,0.584237,0.45854776550000004
dblp_acyclic_203_15,DF-Bin,,0.175549,0.126923764
dblp_acyclic_203_16,DF-Bin,,0.840078,0.7697959060000001
dblp_acyclic_203_17,DF-Bin,,0.291804,0.22791174050000002
dblp_acyclic_203_18,DF-Bin,,0.2760165,0.16730346149999997
dblp_acyclic_203_19,DF-Bin,,0.204959,0.133674545
dblp_acyclic_204_00,DF-Bin,,0.5314995,0.4193660575
dblp_acyclic_204_01,DF-Bin,,0.7632319999999999,0.6350986484999999
dblp_acyclic_204_02,DF-Bin,,1.0582105,0.8990792919999999
dblp_acyclic_204_03,DF-Bin,,0.2180865,0.1396654685
dblp_acyclic_204_04,DF-Bin,,0.7564310000000001,0.615120357
dblp_acyclic_204_05,DF-Bin,,0.34529350000000003,0.26740473900000006
dblp_acyclic_204_06,DF-Bin,,0.205972,0.1486979425
dblp_acyclic_204_07,DF-Bin,,0.10584650000000001,0.06735992750000001
dblp_acyclic_204_08,DF-Bin,,0.6336664999999999,0.4944873939999999
dblp_acyclic_204_09,DF-Bin,,0.7909139999999999,0.646309013
dblp_acyclic_204_10,DF-Bin,,0.151328,0.0861768045
dblp_acyclic_204_11,DF-Bin,,0.117398,0.067908874
dblp_acyclic_204_12,DF-Bin,,0.9222645,0.7693023665
dblp_acyclic_204_13,DF-Bin,,0.4961675,0.401270357
dblp_acyclic_204_14,DF-Bin,,0.366252,0.2485157715
dblp_acyclic_204_15,DF-Bin,,0.5323260000000001,0.38526774550000015
dblp_acyclic_204_16,DF-Bin,,0.6420625,0.5149086955000001
dblp_acyclic_204_17,DF-Bin,,0.1541785,0.090689688
dblp_acyclic_204_18,DF-Bin,,0.289034,0.19043414550000004
dblp_acyclic_204_19,DF-Bin,,0.512874,0.3871819785000001
dblp_acyclic_205_00,DF-Bin,,0.5001504999999999,0.4334212664999999
dblp_acyclic_205_01,DF-Bin,,0.5197345,0.370171854
dblp_acyclic_205_02,DF-Bin,,1.290409,1.1217549505
dblp_acyclic_205_04,DF-Bin,,6.01094,5.8624434415
dblp_acyclic_205_05,DF-Bin,,0.42723,0.3220262455
dblp_acyclic_205_06,DF-Bin,,0.0821225,0.0379013725
dblp_acyclic_205_08,DF-Bin,,0.968685,0.8407078095000001
dblp_acyclic_205_09,DF-Bin,,1.8056860000000001,1.7075123805000005
dblp_acyclic_205_10,DF-Bin,,0.515687,0.39543891350000004
dblp_acyclic_205_11,DF-Bin,,1.5391765,1.4386298114999998
dblp_acyclic_205_12,DF-Bin,,0.8277275,0.6474195689999999
dblp_acyclic_205_13,DF-Bin,,3.46441,3.3651797429999997
dblp_acyclic_205_15,DF-Bin,,4.803338999999999,4.712070551499998
dblp_acyclic_205_16,DF-Bin,,1.528918,1.4173602044999998
dblp_acyclic_205_17,DF-Bin,,3.5163325,3.3540275024999997
dblp_acyclic_206_00,DF-Bin,,1.3888975000000001,1.2695538340000003
dblp_acyclic_206_01,DF-Bin,,0.1462435,0.07616983199999999
dblp_acyclic_206_02,DF-Bin,,1.422312,1.2804473954999998
dblp_acyclic_206_03,DF-Bin,,0.817777,0.6971867805
dblp_acyclic_206_04,DF-Bin,,0.2417755,0.1310634595
dblp_acyclic_206_05,DF-Bin,,0.22416350000000002,0.11825728100000002
dblp_acyclic_206_06,DF-Bin,,0.6119235000000001,0.497666216
dblp_acyclic_206_07,DF-Bin,,0.7147345,0.602808142
dblp_acyclic_206_08,DF-Bin,,0.221163,0.114660977
dblp_acyclic_206_09,DF-Bin,,0.26466449999999997,0.15887389949999997
dblp_acyclic_206_10,DF-Bin,,0.9479035,0.817034101
dblp_acyclic_206_11,DF-Bin,,2.5118739999999997,2.3752452399999995
dblp_acyclic_206_12,DF-Bin,,0.1699545,0.075876616
dblp_acyclic_206_13,DF-Bin,,0.8438,0.7252581285
dblp_acyclic_206_14,DF-Bin,,0.9440505,0.845826277
dblp_acyclic_206_15,DF-Bin,,0.5508505,0.4504013825
dblp_acyclic_206_16,DF-Bin,,0.7577205,0.6421038385000002
dblp_acyclic_206_17,DF-Bin,,0.11525450000000001,0.059412118500000013
dblp_acyclic_206_18,DF-Bin,,0.694438,0.5899555820000001
dblp_acyclic_206_19,DF-Bin,,0.4127345,0.3226041
dblp_acyclic_207_00,DF-Bin,,2.1911025,2.0339228980000006
dblp_acyclic_207_01,DF-Bin,,0.965102,0.8223401489999999
dblp_acyclic_207_02,DF-Bin,,0.370334,0.2558454135
dblp_acyclic_207_03,DF-Bin,,0.4206655,0.33866994000000006
dblp_acyclic_207_04,DF-Bin,,0.712631,0.612288768
dblp_acyclic_207_05,DF-Bin,,0.6436275,0.5471509535000001
dblp_acyclic_207_06,DF-Bin,,0.8418445,0.7173876155
dblp_acyclic_207_07,DF-Bin,,0.860928,0.7525797355
dblp_acyclic_207_08,DF-Bin,,1.48244,1.3431344285
dblp_acyclic_207_09,DF-Bin,,0.6449785,0.521755018
dblp_acyclic_207_10,DF-Bin,,1.0047005,0.8672323245
dblp_acyclic_207_11,DF-Bin,,0.164401,0.086506046
dblp_acyclic_207_12,DF-Bin,,0.9831875,0.8711988905
dblp_acyclic_207_13,DF-Bin,,0.1828265,0.1175995765
dblp_acyclic_207_14,DF-Bin,,0.1854035,0.0850779825
