duration(µs),method,variant,query
206400,BinaryJoin,flatten,job_acyclic_101_04
102766,Yannakakis,flatten,job_acyclic_101_04
189984,BinaryJoin,flatten,job_acyclic_101_04
100767,Yannakakis,flatten,job_acyclic_101_04
192325,BinaryJoin,flatten,job_acyclic_101_04
99844,Yannakakis,flatten,job_acyclic_101_04
190941,BinaryJoin,flatten,job_acyclic_101_04
99863,Yannakakis,flatten,job_acyclic_101_04
192556,BinaryJoin,flatten,job_acyclic_101_04
99757,Yannakakis,flatten,job_acyclic_101_04
190006,BinaryJoin,flatten,job_acyclic_101_04
101208,Yannakakis,flatten,job_acyclic_101_04
191376,BinaryJoin,flatten,job_acyclic_101_04
100309,Yannakakis,flatten,job_acyclic_101_04
190577,BinaryJoin,flatten,job_acyclic_101_04
100338,Yannakakis,flatten,job_acyclic_101_04
191325,BinaryJoin,flatten,job_acyclic_101_04
99999,Yannakakis,flatten,job_acyclic_101_04
189933,BinaryJoin,flatten,job_acyclic_101_04
100550,Yannakakis,flatten,job_acyclic_101_04
1815759,BinaryJoin,flatten,job_acyclic_108_02
835964,Yannakakis,flatten,job_acyclic_108_02
1725493,BinaryJoin,flatten,job_acyclic_108_02
855855,Yannakakis,flatten,job_acyclic_108_02
1729151,BinaryJoin,flatten,job_acyclic_108_02
828411,Yannakakis,flatten,job_acyclic_108_02
1716235,BinaryJoin,flatten,job_acyclic_108_02
829062,Yannakakis,flatten,job_acyclic_108_02
1711906,BinaryJoin,flatten,job_acyclic_108_02
831586,Yannakakis,flatten,job_acyclic_108_02
1711459,BinaryJoin,flatten,job_acyclic_108_02
832471,Yannakakis,flatten,job_acyclic_108_02
1711212,BinaryJoin,flatten,job_acyclic_108_02
832350,Yannakakis,flatten,job_acyclic_108_02
1717881,BinaryJoin,flatten,job_acyclic_108_02
825168,Yannakakis,flatten,job_acyclic_108_02
1703391,BinaryJoin,flatten,job_acyclic_108_02
833194,Yannakakis,flatten,job_acyclic_108_02
1711832,BinaryJoin,flatten,job_acyclic_108_02
832375,Yannakakis,flatten,job_acyclic_108_02
564160,BinaryJoin,flatten,job_acyclic_108_44
168361,Yannakakis,flatten,job_acyclic_108_44
566363,BinaryJoin,flatten,job_acyclic_108_44
167392,Yannakakis,flatten,job_acyclic_108_44
561668,BinaryJoin,flatten,job_acyclic_108_44
166914,Yannakakis,flatten,job_acyclic_108_44
565344,BinaryJoin,flatten,job_acyclic_108_44
165958,Yannakakis,flatten,job_acyclic_108_44
566929,BinaryJoin,flatten,job_acyclic_108_44
166612,Yannakakis,flatten,job_acyclic_108_44
564298,BinaryJoin,flatten,job_acyclic_108_44
166933,Yannakakis,flatten,job_acyclic_108_44
564854,BinaryJoin,flatten,job_acyclic_108_44
166007,Yannakakis,flatten,job_acyclic_108_44
571237,BinaryJoin,flatten,job_acyclic_108_44
168058,Yannakakis,flatten,job_acyclic_108_44
565213,BinaryJoin,flatten,job_acyclic_108_44
168070,Yannakakis,flatten,job_acyclic_108_44
566604,BinaryJoin,flatten,job_acyclic_108_44
166985,Yannakakis,flatten,job_acyclic_108_44
11835,BinaryJoin,flatten,epinions_acyclic_205_03
7780,Yannakakis,flatten,epinions_acyclic_205_03
11696,BinaryJoin,flatten,epinions_acyclic_205_03
7675,Yannakakis,flatten,epinions_acyclic_205_03
11735,BinaryJoin,flatten,epinions_acyclic_205_03
7735,Yannakakis,flatten,epinions_acyclic_205_03
11094,BinaryJoin,flatten,epinions_acyclic_205_03
7837,Yannakakis,flatten,epinions_acyclic_205_03
10706,BinaryJoin,flatten,epinions_acyclic_205_03
8276,Yannakakis,flatten,epinions_acyclic_205_03
10820,BinaryJoin,flatten,epinions_acyclic_205_03
7670,Yannakakis,flatten,epinions_acyclic_205_03
11461,BinaryJoin,flatten,epinions_acyclic_205_03
7730,Yannakakis,flatten,epinions_acyclic_205_03
11256,BinaryJoin,flatten,epinions_acyclic_205_03
8106,Yannakakis,flatten,epinions_acyclic_205_03
10688,BinaryJoin,flatten,epinions_acyclic_205_03
7790,Yannakakis,flatten,epinions_acyclic_205_03
11075,BinaryJoin,flatten,epinions_acyclic_205_03
7640,Yannakakis,flatten,epinions_acyclic_205_03
10228,BinaryJoin,flatten,epinions_acyclic_205_02
6576,Yannakakis,flatten,epinions_acyclic_205_02
11095,BinaryJoin,flatten,epinions_acyclic_205_02
6626,Yannakakis,flatten,epinions_acyclic_205_02
9845,BinaryJoin,flatten,epinions_acyclic_205_02
7263,Yannakakis,flatten,epinions_acyclic_205_02
10049,BinaryJoin,flatten,epinions_acyclic_205_02
6517,Yannakakis,flatten,epinions_acyclic_205_02
10824,BinaryJoin,flatten,epinions_acyclic_205_02
6548,Yannakakis,flatten,epinions_acyclic_205_02
9923,BinaryJoin,flatten,epinions_acyclic_205_02
7028,Yannakakis,flatten,epinions_acyclic_205_02
10026,BinaryJoin,flatten,epinions_acyclic_205_02
6514,Yannakakis,flatten,epinions_acyclic_205_02
10604,BinaryJoin,flatten,epinions_acyclic_205_02
6606,Yannakakis,flatten,epinions_acyclic_205_02
10359,BinaryJoin,flatten,epinions_acyclic_205_02
6932,Yannakakis,flatten,epinions_acyclic_205_02
9975,BinaryJoin,flatten,epinions_acyclic_205_02
7160,Yannakakis,flatten,epinions_acyclic_205_02
912547,BinaryJoin,flatten,dblp_acyclic_209_16
525662,Yannakakis,flatten,dblp_acyclic_209_16
815185,BinaryJoin,flatten,dblp_acyclic_209_16
520718,Yannakakis,flatten,dblp_acyclic_209_16
782703,BinaryJoin,flatten,dblp_acyclic_209_16
519301,Yannakakis,flatten,dblp_acyclic_209_16
781954,BinaryJoin,flatten,dblp_acyclic_209_16
519442,Yannakakis,flatten,dblp_acyclic_209_16
782511,BinaryJoin,flatten,dblp_acyclic_209_16
517200,Yannakakis,flatten,dblp_acyclic_209_16
782149,BinaryJoin,flatten,dblp_acyclic_209_16
516401,Yannakakis,flatten,dblp_acyclic_209_16
783811,BinaryJoin,flatten,dblp_acyclic_209_16
518280,Yannakakis,flatten,dblp_acyclic_209_16
783410,BinaryJoin,flatten,dblp_acyclic_209_16
518161,Yannakakis,flatten,dblp_acyclic_209_16
782924,BinaryJoin,flatten,dblp_acyclic_209_16
516461,Yannakakis,flatten,dblp_acyclic_209_16
780925,BinaryJoin,flatten,dblp_acyclic_209_16
514064,Yannakakis,flatten,dblp_acyclic_209_16
67365,BinaryJoin,flatten,epinions_acyclic_210_15
31244,Yannakakis,flatten,epinions_acyclic_210_15
56342,BinaryJoin,flatten,epinions_acyclic_210_15
30959,Yannakakis,flatten,epinions_acyclic_210_15
57329,BinaryJoin,flatten,epinions_acyclic_210_15
32006,Yannakakis,flatten,epinions_acyclic_210_15
56751,BinaryJoin,flatten,epinions_acyclic_210_15
31028,Yannakakis,flatten,epinions_acyclic_210_15
56874,BinaryJoin,flatten,epinions_acyclic_210_15
30854,Yannakakis,flatten,epinions_acyclic_210_15
57546,BinaryJoin,flatten,epinions_acyclic_210_15
32114,Yannakakis,flatten,epinions_acyclic_210_15
56773,BinaryJoin,flatten,epinions_acyclic_210_15
31143,Yannakakis,flatten,epinions_acyclic_210_15
56851,BinaryJoin,flatten,epinions_acyclic_210_15
31220,Yannakakis,flatten,epinions_acyclic_210_15
56938,BinaryJoin,flatten,epinions_acyclic_210_15
31558,Yannakakis,flatten,epinions_acyclic_210_15
56847,BinaryJoin,flatten,epinions_acyclic_210_15
30626,Yannakakis,flatten,epinions_acyclic_210_15
149047,BinaryJoin,flatten,watdiv_acyclic_208_09
80623,Yannakakis,flatten,watdiv_acyclic_208_09
150470,BinaryJoin,flatten,watdiv_acyclic_208_09
78222,Yannakakis,flatten,watdiv_acyclic_208_09
150443,BinaryJoin,flatten,watdiv_acyclic_208_09
79012,Yannakakis,flatten,watdiv_acyclic_208_09
149453,BinaryJoin,flatten,watdiv_acyclic_208_09
79178,Yannakakis,flatten,watdiv_acyclic_208_09
149198,BinaryJoin,flatten,watdiv_acyclic_208_09
