duration(µs),method,variant,query
528535,BinaryJoin,flatten,17a
466045,Yannakakis,flatten,17a
488535,BinaryJoin,flatten,17a
469832,Yannakakis,flatten,17a
481050,BinaryJoin,flatten,17a
470304,Yannakakis,flatten,17a
502368,BinaryJoin,flatten,17a
475291,Yannakakis,flatten,17a
483602,BinaryJoin,flatten,17a
459987,Yannakakis,flatten,17a
488678,BinaryJoin,flatten,17a
474216,Yannakakis,flatten,17a
480056,BinaryJoin,flatten,17a
466668,Yannakakis,flatten,17a
486411,BinaryJoin,flatten,17a
456927,Yannakakis,flatten,17a
480454,BinaryJoin,flatten,17a
466124,Yannakakis,flatten,17a
478055,BinaryJoin,flatten,17a
465380,Yannakakis,flatten,17a
607529,BinaryJoin,flatten,9a
573764,Yannakakis,flatten,9a
606652,BinaryJoin,flatten,9a
573725,Yannakakis,flatten,9a
608000,BinaryJoin,flatten,9a
573716,Yannakakis,flatten,9a
607040,BinaryJoin,flatten,9a
574193,Yannakakis,flatten,9a
606369,BinaryJoin,flatten,9a
575430,Yannakakis,flatten,9a
608608,BinaryJoin,flatten,9a
573192,Yannakakis,flatten,9a
605968,BinaryJoin,flatten,9a
571891,Yannakakis,flatten,9a
604116,BinaryJoin,flatten,9a
572188,Yannakakis,flatten,9a
603633,BinaryJoin,flatten,9a
570491,Yannakakis,flatten,9a
601992,BinaryJoin,flatten,9a
569302,Yannakakis,flatten,9a
397700,BinaryJoin,flatten,22a
362225,Yannakakis,flatten,22a
400055,BinaryJoin,flatten,22a
357472,Yannakakis,flatten,22a
399607,BinaryJoin,flatten,22a
358879,Yannakakis,flatten,22a
399032,BinaryJoin,flatten,22a
356024,Yannakakis,flatten,22a
399454,BinaryJoin,flatten,22a
354688,Yannakakis,flatten,22a
399735,BinaryJoin,flatten,22a
355801,Yannakakis,flatten,22a
398002,BinaryJoin,flatten,22a
357404,Yannakakis,flatten,22a
399707,BinaryJoin,flatten,22a
356927,Yannakakis,flatten,22a
399906,BinaryJoin,flatten,22a
354723,Yannakakis,flatten,22a
399750,BinaryJoin,flatten,22a
356891,Yannakakis,flatten,22a
319012,BinaryJoin,flatten,5a
137926,Yannakakis,flatten,5a
325973,BinaryJoin,flatten,5a
137701,Yannakakis,flatten,5a
323158,BinaryJoin,flatten,5a
137468,Yannakakis,flatten,5a
321065,BinaryJoin,flatten,5a
137315,Yannakakis,flatten,5a
326413,BinaryJoin,flatten,5a
137981,Yannakakis,flatten,5a
324753,BinaryJoin,flatten,5a
138310,Yannakakis,flatten,5a
325344,BinaryJoin,flatten,5a
137398,Yannakakis,flatten,5a
326636,BinaryJoin,flatten,5a
137507,Yannakakis,flatten,5a
325311,BinaryJoin,flatten,5a
137441,Yannakakis,flatten,5a
324284,BinaryJoin,flatten,5a
137435,Yannakakis,flatten,5a
306345,BinaryJoin,flatten,25b
304611,Yannakakis,flatten,25b
306263,BinaryJoin,flatten,25b
302564,Yannakakis,flatten,25b
