query,method,total_time,execution_time,hashjoin_time
10a,DF-Bin,,0.8077705,0.06506054849999995
10b,DF-Bin,,0.48170599999999997,0.04225234800000001
10c,DF-Bin,,0.7402215,0.24295299100000003
11a,DF-Bin,,0.077833,0.0025649734999999884
11b,DF-Bin,,0.046590999999999994,0.015208435999999997
11c,DF-Bin,,0.18875199999999998,0.06943927449999997
11d,DF-Bin,,0.386779,0.26738268049999997
12a,DF-Bin,,0.174647,0.02221898399999999
12b,DF-Bin,,0.225042,0.06891181799999999
12c,DF-Bin,,0.273696,0.05702247849999997
13a,DF-Bin,,0.187782,0.1234239915
13b,DF-Bin,,0.25301450000000003,0.0888058245
13c,DF-Bin,,0.171068,0.08985152800000001
13d,DF-Bin,,0.4348325,0.3608203895
14a,DF-Bin,,0.28966800000000004,0.05786753150000001
14b,DF-Bin,,0.2860425,0.032495289
14c,DF-Bin,,0.36457,0.11033373850000001
15a,DF-Bin,,0.4158245,0.035053489500000014
15b,DF-Bin,,0.39072399999999996,0.027249073999999904
15c,DF-Bin,,0.9199135,0.1315070605
15d,DF-Bin,,0.37818799999999997,0.14240138849999998
16a,DF-Bin,,0.3451845,0.18678892150000004
16b,DF-Bin,,0.9172575000000001,0.7341179400000001
16c,DF-Bin,,0.4305775,0.23564547800000002
16d,DF-Bin,,0.40852449999999996,0.22038647799999994
17a,DF-Bin,,0.4850065,0.3339208095
17b,DF-Bin,,0.608311,0.47186823650000004
17c,DF-Bin,,0.6006985,0.465957144
17d,DF-Bin,,0.783266,0.5604391620000001
17e,DF-Bin,,0.564344,0.42969685649999995
17f,DF-Bin,,0.79786,0.5997108925
18a,DF-Bin,,0.5696595,0.2624630305000001
18b,DF-Bin,,0.38098200000000004,0.03347277100000006
18c,DF-Bin,,0.509826,0.08646531650000004
19a,DF-Bin,,1.1936525,0.13324395949999998
19b,DF-Bin,,0.925377,0.04240210899999991
19c,DF-Bin,,1.245301,0.23058317449999988
19d,DF-Bin,,1.3592935,0.8957854674999999
1a,DF-Bin,,0.1010365,0.015007731500000007
1b,DF-Bin,,0.09116750000000001,0.014298492500000004
