query,method,total_time,execution_time,hashjoin_time
10a,DF-Bin,,1.582985,0.1431539795000002
10b,DF-Bin,,1.301113,0.10839149999999988
10c,DF-Bin,,1.499487,0.3042076435
11a,DF-Bin,,0.1749905,0.0115569345
11b,DF-Bin,,0.1975555,0.02560190050000002
11c,DF-Bin,,0.24594549999999998,0.07808040899999999
11d,DF-Bin,,0.4407235,0.27526386250000007
12a,DF-Bin,,1.2866535,0.08619243349999996
12b,DF-Bin,,1.2861120000000001,0.13397589050000025
12c,DF-Bin,,1.369148,0.11696872249999987
13a,DF-Bin,,1.355382,0.1964377444999999
13b,DF-Bin,,0.46325099999999997,0.10683858749999993
13c,DF-Bin,,0.3999295,0.119204621
13d,DF-Bin,,0.656833,0.3866119440000001
14a,DF-Bin,,1.400105,0.12148797100000003
14b,DF-Bin,,1.421905,0.09779278199999988
14c,DF-Bin,,1.4655425,0.1735519890000001
15a,DF-Bin,,1.4756805,0.09009073999999995
15b,DF-Bin,,1.4789815000000002,0.09114033050000017
15c,DF-Bin,,2.029872,0.19499128850000025
15d,DF-Bin,,0.6226345,0.17640216749999996
16a,DF-Bin,,0.710124,0.25357816299999997
16b,DF-Bin,,1.290207,0.8018582705000001
16c,DF-Bin,,0.7901345,0.3049638104999999
16d,DF-Bin,,0.7257255,0.2569048675000001
17a,DF-Bin,,0.7475015,0.3591179665
17b,DF-Bin,,1.0108665000000001,0.541185094
17c,DF-Bin,,0.982172,0.5257919090000002
17d,DF-Bin,,1.1646135000000002,0.6158835815000001
17e,DF-Bin,,0.9521105000000001,0.49345123500000015
17f,DF-Bin,,1.155903,0.6275063624999999
18a,DF-Bin,,2.276108,0.38391470049999993
18b,DF-Bin,,2.0888695,0.14571663150000005
18c,DF-Bin,,2.1754165,0.20628594649999957
19a,DF-Bin,,2.9909225,0.24682890499999985
19b,DF-Bin,,2.7734765,0.16133805300000023
19c,DF-Bin,,3.0134785,0.3524723160000003
19d,DF-Bin,,2.2399955,0.9903047335000001
1a,DF-Bin,,0.269146,0.027684701999999988
1b,DF-Bin,,0.222377,0.02390923849999997
1c,DF-Bin,,0.2309525,0.020199934999999978
1d,DF-Bin,,0.24274,0.03033656499999999
20a,DF-Bin,,1.3172555,0.38832999449999983
20b,DF-Bin,,1.476779,0.299878326
20c,DF-Bin,,1.2086484999999998,0.31297416099999975
21a,DF-Bin,,1.27393,0.06999222200000008
21b,DF-Bin,,0.6673275000000001,0.0392335740000001
21c,DF-Bin,,1.2937414999999999,0.06143413499999997
22a,DF-Bin,,1.617261,0.15583337049999996
22b,DF-Bin,,1.5457174999999999,0.1221585890000001
22c,DF-Bin,,1.828624,0.36829702500000017
22d,DF-Bin,,1.8933065,0.5645018774999997
23a,DF-Bin,,1.9954714999999998,0.16733744749999957
23b,DF-Bin,,1.3607464999999999,0.10312773500000005
23c,DF-Bin,,2.0445349999999998,0.17365644499999966
24a,DF-Bin,,3.1681220000000003,0.34341848850000023
24b,DF-Bin,,3.038406,0.21476125600000007
25a,DF-Bin,,2.0877835,0.19741921150000005
25b,DF-Bin,,2.044775,0.17752942949999997
25c,DF-Bin,,2.411544,0.30975631499999995
26a,DF-Bin,,1.266102,0.30330506300000026
26b,DF-Bin,,1.1033849999999998,0.26642515999999977
26c,DF-Bin,,1.1634195,0.338331604
27a,DF-Bin,,0.6862515,0.040082117500000077
27b,DF-Bin,,0.7002360000000001,0.05832368750000012
27c,DF-Bin,,1.2895585,0.06383938600000034
28a,DF-Bin,,1.6773500000000001,0.20955869950000044
28b,DF-Bin,,1.5588855000000001,0.12459589450000007
28c,DF-Bin,,1.701117,0.23136240699999983
29a,DF-Bin,,3.0093864999999997,0.2235744009999998
29b,DF-Bin,,2.4852285,0.21118247449999972
29c,DF-Bin,,3.1474525,0.24992987449999954
2a,DF-Bin,,0.20652900000000002,0.05548323850000005
2b,DF-Bin,,0.2013955,0.051610038500000024
2c,DF-Bin,,0.209284,0.055589842500000014
2d,DF-Bin,,0.2057025,0.054763202500000024
30a,DF-Bin,,2.2243505,0.20953364949999978
30b,DF-Bin,,2.187709,0.17067056050000015
30c,DF-Bin,,2.2746955,0.22763965550000012
31a,DF-Bin,,2.1985675000000002,0.24106115849999976
31b,DF-Bin,,2.2998174999999996,0.1853575069999994
31c,DF-Bin,,2.412439,0.26271617399999975
32a,DF-Bin,,0.1232635,0.01667044849999999
32b,DF-Bin,,0.131618,0.0218249055
33a,DF-Bin,,0.276909,0.034095548500000045
33b,DF-Bin,,0.2700805,0.03565720400000001
33c,DF-Bin,,0.2850275,0.037582952499999975
