duration(µs),method,variant,query
830476,BinaryJoin,flatten,17a
768797,Yannakakis,flatten,17a
781873,BinaryJoin,flatten,17a
738421,Yannakakis,flatten,17a
765392,BinaryJoin,flatten,17a
754229,Yannakakis,flatten,17a
753295,BinaryJoin,flatten,17a
753686,Yannakakis,flatten,17a
759309,BinaryJoin,flatten,17a
736178,Yannakakis,flatten,17a
741708,BinaryJoin,flatten,17a
733285,Yannakakis,flatten,17a
740580,BinaryJoin,flatten,17a
723633,Yannakakis,flatten,17a
738296,BinaryJoin,flatten,17a
729362,Yannakakis,flatten,17a
737818,BinaryJoin,flatten,17a
735231,Yannakakis,flatten,17a
741500,BinaryJoin,flatten,17a
722864,Yannakakis,flatten,17a
1595455,BinaryJoin,flatten,9a
1557841,Yannakakis,flatten,9a
1605284,BinaryJoin,flatten,9a
1583546,Yannakakis,flatten,9a
1619688,BinaryJoin,flatten,9a
1582096,Yannakakis,flatten,9a
1618692,BinaryJoin,flatten,9a
1581984,Yannakakis,flatten,9a
1631545,BinaryJoin,flatten,9a
1607907,Yannakakis,flatten,9a
1626192,BinaryJoin,flatten,9a
1591870,Yannakakis,flatten,9a
1620271,BinaryJoin,flatten,9a
1589167,Yannakakis,flatten,9a
1620071,BinaryJoin,flatten,9a
1584872,Yannakakis,flatten,9a
1617608,BinaryJoin,flatten,9a
1586683,Yannakakis,flatten,9a
1618174,BinaryJoin,flatten,9a
1584999,Yannakakis,flatten,9a
1623641,BinaryJoin,flatten,22a
1580033,Yannakakis,flatten,22a
1618870,BinaryJoin,flatten,22a
1577083,Yannakakis,flatten,22a
1617489,BinaryJoin,flatten,22a
1577233,Yannakakis,flatten,22a
1613899,BinaryJoin,flatten,22a
1574952,Yannakakis,flatten,22a
1616617,BinaryJoin,flatten,22a
1574985,Yannakakis,flatten,22a
1617819,BinaryJoin,flatten,22a
1578982,Yannakakis,flatten,22a
1615888,BinaryJoin,flatten,22a
1577937,Yannakakis,flatten,22a
1617033,BinaryJoin,flatten,22a
1580403,Yannakakis,flatten,22a
1618925,BinaryJoin,flatten,22a
1580736,Yannakakis,flatten,22a
1616784,BinaryJoin,flatten,22a
1575955,Yannakakis,flatten,22a
1408042,BinaryJoin,flatten,5a
261230,Yannakakis,flatten,5a
1408184,BinaryJoin,flatten,5a
261574,Yannakakis,flatten,5a
1401696,BinaryJoin,flatten,5a
261047,Yannakakis,flatten,5a
1403119,BinaryJoin,flatten,5a
262630,Yannakakis,flatten,5a
1402271,BinaryJoin,flatten,5a
255955,Yannakakis,flatten,5a
1387419,BinaryJoin,flatten,5a
255864,Yannakakis,flatten,5a
1375284,BinaryJoin,flatten,5a
256482,Yannakakis,flatten,5a
1374964,BinaryJoin,flatten,5a
257324,Yannakakis,flatten,5a
1378289,BinaryJoin,flatten,5a
256265,Yannakakis,flatten,5a
1375984,BinaryJoin,flatten,5a
255710,Yannakakis,flatten,5a
2044930,BinaryJoin,flatten,25b
2040445,Yannakakis,flatten,25b
2048182,BinaryJoin,flatten,25b
2031754,Yannakakis,flatten,25b
2040596,BinaryJoin,flatten,25b
2049299,Yannakakis,flatten,25b
2040463,BinaryJoin,flatten,25b
2033572,Yannakakis,flatten,25b
2048784,BinaryJoin,flatten,25b
2032023,Yannakakis,flatten,25b
2044828,BinaryJoin,flatten,25b
2032271,Yannakakis,flatten,25b
2043741,BinaryJoin,flatten,25b
2025321,Yannakakis,flatten,25b
2045841,BinaryJoin,flatten,25b
2028308,Yannakakis,flatten,25b
2044722,BinaryJoin,flatten,25b
2031571,Yannakakis,flatten,25b
2035594,BinaryJoin,flatten,25b
2027947,Yannakakis,flatten,25b
1583456,BinaryJoin,flatten,10a
1562533,Yannakakis,flatten,10a
1582958,BinaryJoin,flatten,10a
1560046,Yannakakis,flatten,10a
1583012,BinaryJoin,flatten,10a
1559757,Yannakakis,flatten,10a
1582386,BinaryJoin,flatten,10a
1556774,Yannakakis,flatten,10a
1585506,BinaryJoin,flatten,10a
1559695,Yannakakis,flatten,10a
1584190,BinaryJoin,flatten,10a
1562898,Yannakakis,flatten,10a
1584340,BinaryJoin,flatten,10a
1561870,Yannakakis,flatten,10a
1580110,BinaryJoin,flatten,10a
1562058,Yannakakis,flatten,10a
1581886,BinaryJoin,flatten,10a
1559993,Yannakakis,flatten,10a
1582142,BinaryJoin,flatten,10a
1558983,Yannakakis,flatten,10a
3021585,BinaryJoin,flatten,8d
995575,Yannakakis,flatten,8d
3037731,BinaryJoin,flatten,8d
986370,Yannakakis,flatten,8d
3015080,BinaryJoin,flatten,8d
985816,Yannakakis,flatten,8d
3037350,BinaryJoin,flatten,8d
