duration(µs),method,variant,query
78811,BinaryJoin,flatten,5
17325,Yannakakis,flatten,5
70622,BinaryJoin,flatten,5
15227,Yannakakis,flatten,5
69336,BinaryJoin,flatten,5
15560,Yannakakis,flatten,5
69405,BinaryJoin,flatten,5
15973,Yannakakis,flatten,5
70066,BinaryJoin,flatten,5
15924,Yannakakis,flatten,5
69390,BinaryJoin,flatten,5
15606,Yannakakis,flatten,5
70390,BinaryJoin,flatten,5
15464,Yannakakis,flatten,5
70411,BinaryJoin,flatten,5
16031,Yannakakis,flatten,5
69540,BinaryJoin,flatten,5
15795,Yannakakis,flatten,5
69351,BinaryJoin,flatten,5
15338,Yannakakis,flatten,5
25102,BinaryJoin,flatten,76
18248,Yannakakis,flatten,76
23686,BinaryJoin,flatten,76
17841,Yannakakis,flatten,76
23293,BinaryJoin,flatten,76
17752,Yannakakis,flatten,76
23298,BinaryJoin,flatten,76
18258,Yannakakis,flatten,76
23711,BinaryJoin,flatten,76
17582,Yannakakis,flatten,76
24482,BinaryJoin,flatten,76
17691,Yannakakis,flatten,76
22955,BinaryJoin,flatten,76
18431,Yannakakis,flatten,76
23715,BinaryJoin,flatten,76
17526,Yannakakis,flatten,76
23764,BinaryJoin,flatten,76
17441,Yannakakis,flatten,76
23025,BinaryJoin,flatten,76
17740,Yannakakis,flatten,76
2030797,BinaryJoin,flatten,123
276955,Yannakakis,flatten,123
1925612,BinaryJoin,flatten,123
273952,Yannakakis,flatten,123
1922974,BinaryJoin,flatten,123
275357,Yannakakis,flatten,123
1925388,BinaryJoin,flatten,123
274743,Yannakakis,flatten,123
1919187,BinaryJoin,flatten,123
273428,Yannakakis,flatten,123
1912661,BinaryJoin,flatten,123
272462,Yannakakis,flatten,123
1912994,BinaryJoin,flatten,123
273386,Yannakakis,flatten,123
1911423,BinaryJoin,flatten,123
272245,Yannakakis,flatten,123
1914250,BinaryJoin,flatten,123
272246,Yannakakis,flatten,123
1915093,BinaryJoin,flatten,123
272640,Yannakakis,flatten,123
12057,BinaryJoin,flatten,100
10285,Yannakakis,flatten,100
11628,BinaryJoin,flatten,100
10283,Yannakakis,flatten,100
11367,BinaryJoin,flatten,100
10873,Yannakakis,flatten,100
11413,BinaryJoin,flatten,100
11202,Yannakakis,flatten,100
11755,BinaryJoin,flatten,100
10698,Yannakakis,flatten,100
11627,BinaryJoin,flatten,100
10512,Yannakakis,flatten,100
11712,BinaryJoin,flatten,100
10244,Yannakakis,flatten,100
11589,BinaryJoin,flatten,100
10342,Yannakakis,flatten,100
11378,BinaryJoin,flatten,100
10885,Yannakakis,flatten,100
11411,BinaryJoin,flatten,100
10875,Yannakakis,flatten,100
4330361,BinaryJoin,flatten,143
627413,Yannakakis,flatten,143
4107848,BinaryJoin,flatten,143
628621,Yannakakis,flatten,143
3950150,BinaryJoin,flatten,143
630987,Yannakakis,flatten,143
3958947,BinaryJoin,flatten,143
634488,Yannakakis,flatten,143
3966293,BinaryJoin,flatten,143
635519,Yannakakis,flatten,143
3975453,BinaryJoin,flatten,143
638069,Yannakakis,flatten,143
