duration(µs),method,variant,query
108767,BinaryJoin,flatten,5
17623,Yannakakis,flatten,5
94231,BinaryJoin,flatten,5
17219,Yannakakis,flatten,5
89520,BinaryJoin,flatten,5
17203,Yannakakis,flatten,5
89190,BinaryJoin,flatten,5
17135,Yannakakis,flatten,5
89676,BinaryJoin,flatten,5
17219,Yannakakis,flatten,5
89962,BinaryJoin,flatten,5
17028,Yannakakis,flatten,5
90339,BinaryJoin,flatten,5
17058,Yannakakis,flatten,5
89394,BinaryJoin,flatten,5
16982,Yannakakis,flatten,5
90122,BinaryJoin,flatten,5
17106,Yannakakis,flatten,5
89421,BinaryJoin,flatten,5
17121,Yannakakis,flatten,5
26228,BinaryJoin,flatten,76
20653,Yannakakis,flatten,76
25654,BinaryJoin,flatten,76
20763,Yannakakis,flatten,76
24878,BinaryJoin,flatten,76
20079,Yannakakis,flatten,76
25746,BinaryJoin,flatten,76
20084,Yannakakis,flatten,76
25013,BinaryJoin,flatten,76
20513,Yannakakis,flatten,76
25452,BinaryJoin,flatten,76
20746,Yannakakis,flatten,76
25305,BinaryJoin,flatten,76
20694,Yannakakis,flatten,76
25068,BinaryJoin,flatten,76
19986,Yannakakis,flatten,76
24914,BinaryJoin,flatten,76
20611,Yannakakis,flatten,76
25414,BinaryJoin,flatten,76
20881,Yannakakis,flatten,76
2076688,BinaryJoin,flatten,123
285002,Yannakakis,flatten,123
1946483,BinaryJoin,flatten,123
285238,Yannakakis,flatten,123
1946265,BinaryJoin,flatten,123
284569,Yannakakis,flatten,123
1945605,BinaryJoin,flatten,123
284511,Yannakakis,flatten,123
1947040,BinaryJoin,flatten,123
285696,Yannakakis,flatten,123
1946532,BinaryJoin,flatten,123
286130,Yannakakis,flatten,123
1945874,BinaryJoin,flatten,123
284111,Yannakakis,flatten,123
1945430,BinaryJoin,flatten,123
284794,Yannakakis,flatten,123
1948154,BinaryJoin,flatten,123
285612,Yannakakis,flatten,123
1947101,BinaryJoin,flatten,123
284541,Yannakakis,flatten,123
16145,BinaryJoin,flatten,100
15297,Yannakakis,flatten,100
15354,BinaryJoin,flatten,100
15372,Yannakakis,flatten,100
15360,BinaryJoin,flatten,100
15109,Yannakakis,flatten,100
16107,BinaryJoin,flatten,100
14546,Yannakakis,flatten,100
16165,BinaryJoin,flatten,100
14428,Yannakakis,flatten,100
15887,BinaryJoin,flatten,100
14599,Yannakakis,flatten,100
15472,BinaryJoin,flatten,100
14871,Yannakakis,flatten,100
15122,BinaryJoin,flatten,100
15309,Yannakakis,flatten,100
15861,BinaryJoin,flatten,100
14708,Yannakakis,flatten,100
16271,BinaryJoin,flatten,100
14705,Yannakakis,flatten,100
4294580,BinaryJoin,flatten,143
639510,Yannakakis,flatten,143
4163734,BinaryJoin,flatten,143
634536,Yannakakis,flatten,143
3928143,BinaryJoin,flatten,143
634922,Yannakakis,flatten,143
3922867,BinaryJoin,flatten,143
632668,Yannakakis,flatten,143
3927445,BinaryJoin,flatten,143
633193,Yannakakis,flatten,143
3929189,BinaryJoin,flatten,143
633516,Yannakakis,flatten,143
3925629,BinaryJoin,flatten,143
633545,Yannakakis,flatten,143
